"cs_concentration","is_concentration","description","course_id","term","name","prereqs","number","subject"
"Software Engineering","None","This course focuses on the fundamentals, principles, tools, and techniques in agile software development. Students will gain hands-on experiences in agile software development through projects dealing with various aspects of agile development, including planning, construction, testing, and integration. Students will be able to effectively participate in and manage agile software development as a result of their successfully completing this course.","20492","Winter","Agile Software Development","SE 450","459","SE"
"Software Engineering","None","Managing Globally Distributed Software Development (GDSD) for IT projects. Issues associated with time zone differences, infrastructure support, geographical dispersion, and lack of centralized communication. The course will focus on the management, implementation and deployment of software within the context of outsourced, distributed development, and insourced projects. Additional topics include strategic management issues such as justification, vetting, consulting services and partnerships. Course will include several hands-on distributed development projects.","20493","Spring","Managing Globally Distributed Software Development","None","475","SE"
"Software Engineering","None","Project Management is presented from a practitioner's view. The four basic building blocks of software project management: people, process, tools, and measurements are covered. Special emphasis is placed on professional standards such as the Project Management Book of Knowledge and IEEE Software Engineering Standards. Specific topics include Managing People, Selecting Project Tools, Leadership & Motivation, Software Development Processes, Estimation, Risk Analysis, Scheduling and Tracking, Leveraging Measurements, and Project Completion. Consideration is given to rapid development and project cultural issues.","20494","Winter","Sotware and Systems Project Management","SE 430","477","SE"
"Software Engineering","None","The Software Architecture process is concerned with describing, evaluating, and designing systems at the architectural level. This course will discuss the role of architecture and the architect in the software development cycle. It will introduce architectural patterns and tactics, architecture assessment techniques, architecture driven design, and techniques for documenting architectures. The course will involve design, development, and assessment activities. ","20495","Spring","Sotware Architecture I","SE 450","480","SE"
"Software Engineering","None","Requirements Engineering (RE) plays a critical role in the software development process. This course will introduce related vocabulary, concepts, and techniques, and will examine the role of RE in software and systems engineering. The course will cover topics related to eliciting, validating, negotiating, analyzing, specifying, and managing requirements. Popular RE tools will also be introduced.","20496","Spring","Requirements Engineering","SE 430 or SE 450","482","SE"
"Software Engineering","None","Students will work in small teams to develop realistic software systems in a master-apprentice environment. The instructor will serve as a master/mentor/project leader. Students will apply knowledge and skills they have learned in previous course in solving real world problems.","20497","Fall","Software Engineering Studio","SE 450 or SE 456","491","SE"
"Software Engineering","None","Students in this course will learn architectural patterns for integrating security into software such as web applications. Topics include: an overview of software security; integration of authentication, access control, and auditing into software; programming with symmetric-key and asymmetric-key cryptography, including key distribution and key management, use of certificates, and SSL/TLS; security mechanisms in modern runtime environments, e.g., code signing, code verification, access control, and security policies. Students will get hands-on experience designing and implementing secure software.","20498","Spring","Software Security Architecture","CSC 435 and SE 450","525","SE"
"Software Engineering","None","Students in this course will learn how to conduct software security assessment to identify software vulnerabilities in software such as web applications and operating system services. Topics include: common software vulnerabilities and attack vectors; malicious payloads, including shellcode structure; and application review techniques, including fuzzing and code auditing. Students will get hands-on experience identifying vulnerabilities in software.","20499","Winter","Software Security Assessment","CSC 435","526","SE"
"Software Engineering","None","Identification, estimation, evaluation, planning, controlling, and monitoring of risk involved in the development, maintenance, operation and evolution of systems. ","20500","Fall","Software Risk Management","SE 430","529","SE"
"Software Engineering","None","Techniques, methods and tools for software inspection and testing. Theory and applications of formal verification of programs. Techniques and tools for automated analysis of programs.","20501","WInter","Software Validation and Verification","SE 450","533","SE"
"Software Engineering","None","This course will introduce students to architecture, design and implementation issues for developing GUI-based desktop application. The goal is to understand the engineering aspect of user interface development -- that is the basic software architectures and designs that govern the development of graphical user applications including patterns like the Model-View-Controller and its derivatives, event-driven design, as well as addressing concurrency, performance, caching, and software packaging and distribution issues. The course will also provide an in depth exposure to the toolkits available in Java. Examples include JFC/Swing, JMF, JAF. ","20502","Winter","Software Architecture and Design for Desktop","SE 450","546","SE"
"Software Engineering","None","Advanced methods and techniques in software specification, modeling, and model-driven development. Topics include approaches to software specification and modeling, formal specification languages, techniques for structural and behavioral modeling of software systems, and tools for analysis and transformation of software systems.","20503","Spring","Model-Driven Software Development","SE 430 or SE 450","549","SE"
"Software Engineering","None","This course will focus on object-oriented component architectures for enterprise applications. Topics include: Enterprise Java Beans (EJB), Java Naming and Directory Interfaces (JNDI), Java Mail and Messaging Services.","20504","Spring","Enterprise Component Architecture","SE 450 or SE 452","554","SE"
"Software Engineering","None","This course discusses the advanced issues in software architecture and the engineering of computer games. The topics include engineering and programming issues in graphics, scene management, kinematics, simulation, collision detection. Software design patterns and frameworks for computer games. Project management, configuration management, and quality assurance of computer game development projects.","20505","Winter","Advanced Architecture of Computer Games","SE 456","556","SE"
"Software Engineering","None","Document and data interchange among different applications is an extremely important aspect of software application development. This course will focus on emerging technologies associated with the Extensible Markup Language (XML), such as the Document Object Model (DOM), the Simple API for XML (SAX), the XML Stylesheet Language (XSL) and Transformation Language (XSLT), and XML Schema. Applications of these technologies will be discussed in conjunction with tools and techniques for parsing, transforming, and manipulating documents. ","20506","Fall","Structured Document Interchange and Processing","SE 450","560","SE"
"Software Engineering","None","This courses discusses the application of selected statistical analysis, data mining, and machine learning techniques to the area of Software Engineering. These techniques are used for purposes as varied as stakeholder analysis, mining software repositories, trace retrieval, bug prediction, recommender systems in Software Engineering domains, and software process improvement techniques. The course demonstrates how these techniques can be used to enhance project management and other software engineering activities in software intensive systems and provides students with hands-on experience using them on real project data. (No prior knowledge of data mining and knowledge management is assumed.) ","20507","Fall","Analytics and Data Mining in Software Engineering","SE 450","579","SE"
"Software Engineering","None","In this second Software Architecture course, students will be exposed to case studies of real-world software architectures for which reliability, performance, availability, scalability and other such concerns drive the architectural design. Students will gain hands-on practice in reverse engineering, designing, and assessing existing systems including performance testing. Student will build on their prior knowledge to design complex systems in principled and systematic ways. The course will involve designing and implementing a simulated high scalability, high reliability system. ","20508","Fall","Software Architecture II","SE 480","581","SE"
"Software Engineering","None","This course will introduce students to fundamental principles of systems engineering for large and complex software intensive systems. The course will include a study of systems engineering failures, and will cover topics related to problem frames; systems level modeling of hardware and software components, concept definition, design tradeoffs, risk assessment, interface definition and related systems engineering activities. Additional topics such as product line development, ultra-large scale systems, and engineering of safety critical systems will also be covered. ","20509","Spring","Software-Intensive Systems Engineering and Management","SE 477 and SE 430 or SE 482","582","SE"
"Software Engineering","None","This is the continuation of SE 491. SE 491 and 591 must be taken as a sequence in two consecutive quarters.","20510","Winter","Software Engineering Studio II","SE 491","591","SE"
"Game and Real-Time Systems","None","Analysis and implementation techniques to improve the performance and resource usage of C++ programs. This class will provide low level understanding of C++'s internal behavior that can be exploited to create faster performing software. Analysis of existing software to help identify and remedy execution performance issues related to data layout, processor caching, unintended compiler interactions, algorithmic considerations, data containers and supplied subsystems. Topics include: performance enhancements through SIMD instruction set, dynamic memory usage, caching, implicit behavior, C++ language extensions, algorithms, streaming and profiling.","20511","Fall","Optimized C++","None","461","CSC"
"Game and Real-Time Systems","None","Software architecture of applied C++ concurrency and multithreading fundamentals. Basic threading concepts: process model, threads, stacks, fibers, mutexes, semaphores, atomics and events. Leveraging advanced C++ language features relating to the memory model and the threading support in large multithreaded architectures. Architecting lock-based and lock-free concurrent data structures in applications. Designing a threaded management system to control the access and reuse of threads in applications. Designing multithreaded architecture for real-time performance. ","20512","Winter","Optimized C++ Multithreading","CSC 491","462","CSC"
"Game and Real-Time Systems","None","Applied real-time networking fundamentals. Topics include low-level TCP/UDP socket programming, serialization of data for network transportation, deterministic data flow and queuing in applications, dynamic configuration and session communications. Students will explore issues related to performance-based networking in different topologies: client/server and peer to peer. Students will create and build real-time applications using different protocols (TCP, UDP, RUDP) with active network simulation of loss, delayed, corrupted and out of order data packets. Architecture of different bandwidth compression and estimation techniques will be investigated. Research of wireless ad hoc networks such as Bluetooth and ZigBee will be explored.","20513","Spring","Real-Time Networking","CSC 461 and SE 450","486","CSC"
"Game and Real-Time Systems","None","Real-time constrained multithreaded architecture. Topics include multithreaded handle development, inter-thread communication, creating systems for user-defined callbacks, asynchronous loading and streaming of resources, non-blocking threading synchronization, design patterns and data driven messaging with time delivery constraints. Design and implementation of thread safe data management with atomic non-blocking synchronization. Exploration of real-time data driven messaging to allowing the run-time object data to control the behavior an application. Students will design, develop and implement a multithreaded real-time application (i.e. Audio engine) that integrates existing single and multithreaded middleware libraries. ","20514","Spring","Real-Time Multithreading Architecture","CSC 461 and SE 450","588","CSC"
"Game and Real-Time Systems","None","Review of mathematical foundation and techniques needed for the development of 3D graphics and game systems. This class will provide the foundation in linear algebra and 3D geometry required for implementing common tasks in 3D graphics and game systems. Topics include: vectors, matrices, transforms, coordinate changes, projections, intersection, interpolation and random number generator. ","20515","Fall","Applied 3D Geometry","None","425","GAM"
"Game and Real-Time Systems","None","The course concentrates on Newton's Laws of Motion, kinematics and kinetics. This theory will be applied to problems that a game programmer must understand e.g. collisions between objects, projectiles and their trajectories, real-time simulation of motion. Special objects such as cars, aircraft and ships will be discussed. Students will apply and implement laws of physics.","20516","Spring","Physics for Game Developers","CSC 461 and SE 450","450","GAM"
"Game and Real-Time Systems","None","This course focuses on the parsing and conditioning of game related assets for real-time game engines. Topics include the content pipeline, processing or standard file formats using modern API, integration of external tools, run-time file format design, command line and graphical user interfaces. Adaptive real-time modification of data structures in game using managed languages (such as C#) reflection will be explored. ","20517","Fall","Tool Programming for Game Development","CSC 461 and SE 450","453","GAM"
"Game and Real-Time Systems","None","This programming class will present the rendering pipeline and basic shader creation. Students will create their own graphics package using a high-level graphics API such as Direct X. Performance issues will be considered as part of the API design. Topics covered include illumination techniques, Gouraud and Phong shading, antialiasing techniques, texture mapping, blending and environment mapping, reflection and hardware instancing.","20518","Winter","Rendering and Graphics Programming","GAM 425 and CSC 461","470","GAM"
"Game and Real-Time Systems","None","This course designs and implements a custom real-time game engine. Developing real-time graphics systems to transform and render scene graphs using polygon primitives and hardware buffers. Architecting critical performance related operating system components such as Memory, File, Object and Math Systems. Designing large scale software architecture using Design Patterns, layers and libraries into one large project.","20519","Fall","Game Engine Programming I","CSC 461 and SE 450","475","GAM"
"Game and Real-Time Systems","None","Artificial Intelligence (AI) is one of the essential components of a computer game. The course introduces basic concepts of AI. Emphasis will be placed on applications of AI in various genres of computer games. In the implementation component of this course students will be exposed to the existing AI game engines (middleware), which contain implemented AI algorithms that are ready to be applied into game code. These algorithms include: decision trees, pathfinding, neural networks, and script-driven game object behaviors.","20520","Winter","Artificial Intelligence for Computer Games","CSC 461 and SE 450","476","GAM"
"Game and Real-Time Systems","None","In this course we introduce major mobile hardware platforms and their operating systems. Issues related to game design for handheld devices will be presented. The strong technical component of this course includes game programming for a handheld device with a wireless internet connection enabling multiplayer game architecture. Such concepts as: building a custom game library, multiplayer game programming, infrared, wireless and socket communication between devices will be discussed.","20521","Winter","Game Programming for Mobile Devices","CSC 471","486","GAM"
"Game and Real-Time Systems","None","This class continues to explore C/C++ game engine programming. This course focuses on 3D keyframe animation systems and 3D model asset conversion. Topics include design of an extensive Math library including Quaternion interpolation, view volume determination, exporting and conditioning of parent relative keyframe animation data, and run-time animation engine. Finally implementation of run-time data formats for vertex buffer objects will be developed for efficient rendering. ","20522","Winter","Game Engine Programming II","GAM 475","575","GAM"
"Game and Real-Time Systems","None","This class continues to explore C/C++ game engine programming. This class focuses on advanced game engine issues such as tool development (skin data reduction, adaptive animation compression, model conversion), runtime coordination on CPU (scene graph, animation coordination, resource management) and GPU processing (vertex skinning, animation blending and model rendering).","20523","Spring","Game Engine Programming III","GAM 575","576","GAM"
"Game and Real-Time Systems","None","In this course and its continuation GAM 691, students will work in small teams to design and implement a computer game. The courses must be taken consecutively. ","20524","Winter","Game Development Studio I","GAM 475","690","GAM"
"Game and Real-Time Systems","None","Continuation of GAM 690.","20525","Spring","Game Development Studio II","GAM 690","691","GAM"
"Game and Real-Time Systems","None","An accelerated introduction to the graphics development environments and to graphical programming. Provides an in depth discussion of the basic mathematical language of computer graphics: vectors, transformations, homogeneous coordinates and their associated data structures. Advanced topics will include sampling theory and interpolation. Also provides a basic introduction to industry standards in graphics development, including specifying transformations and viewing parameters.","20526","Fall","Fundamentals of Computer Graphics","None","436","GPH"
"Game and Real-Time Systems","None","Basic graphics architecture. Coordinate systems. Three-dimensional representations and transformations. Simple visible-surface algorithms. Introduction to illumination. Gouraud and Phong shading. Antialiasing. Texture mapping and elements of animation. Students create a graphics package using a high-level graphics API such as OpenGL.","20527","Winter","Computer Graphics Development","CSC 461 and GPH 436","469","GPH"
"Game and Real-Time Systems","None","(Formerly CSC 570) Reconstruction techniques. Voxel classification and isosurface generation. Spatial set operations. Projections of higher-dimensional data sets. Data feature enhancement. False color mapping. Survey of applications in science, engineering and medicine.","20528","Spring","Visualization","GPH 469 or GAM 470","570","GPH"
"Game and Real-Time Systems","None","(Formerly CSC 572) This course will cover a range of topics in introductory 3D Computer Animation. Topics covered will include key framing, interpolation, hierarchies, inverse kinematics, particle systems, and the basics of physically based simulation and modeling.","20529","Spring","Principles of Computer Animation","GPH 469","572","GPH"
"Game and Real-Time Systems","None","This class explores the current trends in programmable computer graphics hardware. Modern graphics processing units (GPU's) are becoming increasingly powerful and fully programmable parallel processing units. They make extremely sophisticated effects in computer graphics, such as shadows, displacement maps, skinning, motion blur, reflections and refractions, possible in real-time scenes. In addition these increasingly general programmable units are being used for far more general computing problems from traditional searching and sorting algorithms to computational problems in physics such as the diffusion equation and fluid flow. In this course we will explore the applications of hardware shading to computer graphics, including advanced lighting, shading and surface effects. As time allows, we will explore other applications such as physics and computer science.","20530","Spring","Hardware Shading Techniques","GPH 469 or GAM 470","580","GPH"
"Game and Real-Time Systems","None","This course discusses the principles, styles, and patterns of real-time software architecture. Trade-offs and ramifications of software architecture with respect to performance, maintainability, and reusability, will be explored. The course will also investigate the design and implementation of real-time behavior and constraints for Common Design Patterns such as Observer, Visitor, and Strategy. Finally, the course will demonstrate how creation of real-time Data Driven environment allows the run-time object data to control the behavior and flow of an application. These topics will be discussed in the context of best practices in software engineering such as iterative development, testing, and continuous integration.","20531","Fall","Architecture of Real-Time Systems","None","456","SE"
"Human-Computer Interaction","None","This course covers the design and development of modern web applications and their interaction with web services. The primary focus is on client-side web applications using AJAX-techniques to access web services. Possible topics include: HTML5; JavaScript/TypeScript; MVC and single-page application programming models, e.g., AngularJS; programming and security models for browsers; client-side web applications with local storage; data synchronization; HTTP, proxies, and caching; Node.js; RESTful web services.","20532","Winter","Web Applications","CSC 435 and CSC 447","436","CSC"
"Human-Computer Interaction","None","This course introduces concepts, techniques, technologies and APIs for web application development. The main focus of the course is on the Model-View-Controller design pattern employed by modern full-stack web frameworks. Concepts and techniques covered include client/server programming, database abstraction APIs, and asynchronous javascript. Examples of full-stack MVC frameworks include Ruby-on-Rails (written in Ruby), Django and TurboGears (written in Python). ","20533","Fall","Framework for Web Application Development","None","438","CSC"
"Human-Computer Interaction","None","This course introduces the core issues associated with application development for mobile devices using the iOS platform. Students will learn the Swift language, the XCode IDE, UIKit and other frameworks, the elements and architecture of the user interfaces, and more. Students will be exposed to the iOS system architecture including memory management, MVC, delegates and threads. Topics will also include understanding and handling of multi-touch events, gestures, and motion events. ","20534","Fall","Mobile Application Development for iOS","None","471","CSC"
"Human-Computer Interaction","None","This course introduces the core issues associated with application development for mobile devices using the Android platform. Students will learn the Eclipse IDE, frameworks, the elements and architecture of user interfaces, graphics, and more. Students will be exposed to the Android system architecture, including Views, Widgets, Resources, Adapters, Intents and Activities. Topics will also include understanding and handling of threads, multi-touch events, gestures, and motion events.","20535","Winter","Mobile Application Development for Android","None","472","CSC"
"Human-Computer Interaction","None","This course will cover advanced topics in mobile application development for iOS. The topics covered will be made explicit by the course instructor when the course is offered.","20536","Spring","Mobile Application Development for iOS II","CSC 471","491","CSC"
"Human-Computer Interaction","None","This course will cover advanced topics in mobile application development for Android. The topics covered will be made explicit by the course instructor when the course is offered.","20537","Spring","Mobile Application Development for Android II","CSC 472","492","CSC"
"Human-Computer Interaction","Systems Analysis","The user-interface development process. Introduction to methods for practicing user-centered design including user and task analysis, user interface design principles and testing using low-fidelity prototypes. Students may not receive credit for this course and HCI 441.","20538","Fall","Introduction to User-Centered Design","None","440","HCI"
"Human-Computer Interaction","None","Overview of the user-centered design (UCD) process with an additional emphasis on user interface development. Coverage of UCD process includes effective, low-cost methods for user research, interaction design and evaluation. User interface development involves application of front-end development languages (HTML and JavaScript) and frameworks (jQery). This course is offered to students with programming experience as an alternative to IT 411 and HCI 440. Students may not receive credit for this course and HCI 440. ","20539","Fall","Introduction to User-Centered Development","None","441","HCI"
"None","CORE","Course focus is on both traditional and object oriented systems analysis, with an emphasis upon developing competency in a wide range of modeling techniques. Specific topics include: overview of the software development environment and project management; project selection, initiation, and planning; determining requirements; process modeling, including DFDs and use cases; logic modeling, including decision tables, sequence diagrams, and activity diagrams; introduction to Entity-Relationship Diagrams. ","30421","All","System Analysis","None","421","IS"
"None","CORE","Requirement analysis, conceptual design, logical design and implementation of relational databases. Emphasis will be on E-R modeling and E-R mapping, along with basic normalization and SQL for database implementation.","30422","All","Database Design for Information Systems","None","451","CSC"
"None","CORE","Course focus is on both traditional and object oriented systems design. Specific topics include: database design, including logical and physical design; Entity-Relationship diagrams, class diagrams, form and report design; interface and dialogue design; design specifications, including structure charts and prototypes; designing for LANs and distributed systems, as well as the Internet; system implementation, including parallel and phased implementation, testing, documentation, and user training; system maintenance, including types of maintenance, controlling and coordinating maintenance requests, and configuration management. Course ends with a multi-week case study applying the principles from both this course and IS 421, Systems Analysis.","30423","All","System Design, Implementation, and Maintenance","IT 421 and CSC 451","422","IS"
"None","CORE","This course concentrates on monitoring, managing and controlling assets and resources on a single IT project. Topics covered are project methodologies; risk management; procurement and contract management; time and cost estimating; controlling and tracking techniques; quality assurance; testing and audit. Students will use common project management software for resource allocation and balancing.","30424","All","Fundamentals of IT Project Management","None","430","IS"
"None","CORE Systems Analysis","Survey of information security management as it applies to information systems analysis, design, and operations. Managing information assets and the security infrastructure. Emphasis on managing security-related risk, as well as the process of developing, implementing, and maintaining organizational policies, standards, procedures, and guidelines. Identifying and evaluating information assets, threats, and vulnerabilities. Quantitative and qualitative risk analysis, risk mitigation, residual risk, and risk treatment as they relate to information security. Topics include information security vulnerabilities, threats, and risk management; security policies and standards; security audits; access controls; network perimeter protection, data protection; physical security; security education training and awareness. Introduction to compliance, as well as the CISSP domains.","30425","Fall","Information Security Management","None","440","CNS"
"None","CORE Systems Analysis","The course explores contemporary approaches to analyzing and modeling organizational problems, processes, workflow, users and data. The emphasis is on the initial stages of analysis where the root cause of problems are identified, formulated and modeled. Students will acquire an array of modeling skills and be able to prescribe the proper modeling approach based on a variety of organizational and contextual factors. Business process modeling, management and metrics will be covered. Object-oriented and user-centered approaches will be introduced. ","30426","Winter","Organizational Modeling","IS 421 or SE 430","435","IS"
"None","CORE Systems Analysis","This course focuses on the concepts and skills needed to elicit, analyze, specify, and manage requirements for a software or systems level project. Students will learn to identify and work with stakeholders through conducting a variety of requirements gathering techniques including interviewing, surveying, ethnography, and Joint Application Design (JAD) sessions, to identify and analyze requirements conflicts and negotiate solutions, to model requirements and specify them in unambiguous ways, and to manage requirements throughout the software lifecycle using change controls, traceability, and impact analysis techniques. The requirements process will be examined in both traditional and agile environments. Current topics such as requirements for product lines or distributed development teams will also be explored as time permits. A student may not take both SE 482 and IS 485 for credit toward a degree.","30427","Winter","Requirements Elicitation, Analysis, and Specification","IS 422 or IS 430","485","IS"
"None","CORE Systems Analysis","This course focuses on the application of financial analysis and decision-making approaches to aid information technology investment decisions at the operational, project, tactical and strategic levels. Students will learn how to apply a variety of financial methods -- breakeven analysis, present value analysis, profitability index, and return on investment to various IT investment decisions. The course will also address cost benefit analysis, outsourcing, balanced scorecard, and multi-factor scoring, benchmarking, and IT investment portfolio methods. These techniques will prepare students to manage capital budgets, acquisition of system and application software, hardware, personnel, and professional services at project and system levels as well as enterprise investment portfolio.","30428","Spring","Information Technology Investment Financial Analysis","IS 430","535","IS"
"None","CORE Systems Analysis","An introduction to enterprise systems for data and process integration, including ERP systems. Topics include the requirements of enterprise systems, application architecture, tools, and functionality of leading enterprise systems, life cycle and methodologies for systems integration, selection, and implementation strategies. Also addressed are emerging trends for enterprise systems and relationship among component systems.","30429","Spring","Enterprise Systems","None","560","IS"
"None","Systems Analysis","Introduction to modern infrastructure and the evolving technology environment. Major topics include: computer networks, Internet infrastructure, Web 2.0, Enterprise 2.0, social media and networking, software as a service, content management systems, cloud computing, and portal.","30430","Fall","Enterprise Infrastructure","None","424","ECT"
"None","Systems Analysis","Management and boards continue to recognize the importance of effectively managing information technology (IT) assets - to meet business objectives and to thoughtfully manage IT related business risks. This course examines the key principles related to auditing information technology processes and related controls and is designed to meet the ever increasing needs of IT audit and IT governance professionals. In addition, this course aids in the preparation for the Certified Information Systems Auditor (CISA) exam.","30431","Fall","IT Auditing","None","444","IS"
"None","Systems Analysis","Intranet development methodology. Data warehousing concept and On-Line analytic processing (OLAP) for information management. Enterprise information portals (EIP). Transforming information into knowledge. Major applications involve: decision support, customer applications and content personalization for intranet. Students will conduct case studies and projects.","30432","Winter","Intranets and Portals","ECT 424","480","ECT"
"None","Systems Analysis","This course focuses on the operational aspects of information systems in organizations by examining the concepts, tools and techniques available to IS professionals responsible for the delivery of IT services. Topics include the organization of the IT services; the procurement of hardware, software and vendor services; operation of data centers, help desks and user training, the development and use of RFPs (Request for Proposals) and SLAs (Service Level Agreements), the integration of services and operations with application development project needs, and the role of capital and operating budgets.","30433","Winter","Information Services and Operations","None","483","IS"
"None","Systems Analysis","This course focuses on the central role of the Product Manager in creating and sustaining compelling products and services throughout the product lifecycle. Special emphasis is placed on the creation and management of intangible technology products and services throughout the entire product management lifecycle. Product managers act as the focal point for value creation within their organizations leading cross functional product activities from the conception of an idea to the ultimate product retirement.","30434","Spring","Digital Product Management","None","431","IS"
"None","Systems Analysis","Study of the process of virtual teaming with emphasis on facilitation of different time project activities and facilitation of same time meetings. Students will learn how small group psychology and group communication theories inform specific behaviors in the design and leadership of meetings. Several meeting types including information briefing, focus group, document writing, decision making, requirements gathering, and teaching/training will be explored. In addition, the course surveys current collaboration technologies and discusses how to select among those technologies usability and fit to purpose of a meeting agenda. DL students may be required to schedule same time sessions with the instructor and other DL students; see current quarter syllabus for more information on this point.","30435","Spring","Collaborative Technologies for Leading Projects","None","440","IS"
"None","Systems Analysis","An introduction to electronic business. The topics include business models, technologies, business and social impact of e-business. It explores the tools, skills, business and social implications of emerging electronic business. In addition to acquiring basic skills for identifying electronic business opportunities and creating a presence in the online marketplace, the student reexamines fundamental processes of business as they are performed in cyberspace in contrast to the marketplace. This helps them understand changes as the cyberspace grows increasingly important in the global economy.","30436","Fall","Electronic Business","None","445","IS"
"None","Systems Analysis","A study of the hardware, software, and techniques for using virtual information technologies to support teams working in a distributed, virtual, or global environments. Topics include software survey and evaluation, software deployment within organizational and trans-organizational contexts, trans-national vendor relationships, trans-border data flow, geographically dispersed software development, and integration of diverse technologies.","30437","Winter","Global Information Technology","None","540","IS"
"None","Systems Analysis","This course covers how an enterprise coordinates and effectively manages all its IT projects and programs through program management and the IT program management office. Students will learn the role of the IT program management office in establishing and maintaining the project and program infrastructure and in assisting project managers, program managers, and the executive steering committee. Students will analyze the role of program management in coordinating the delivery of expected program benefits, in managing stakeholder expectations, and in establishing program governance.","30438","Spring","Enterprise Project Management","IS 430","556","IS"
"None","Systems Analysis","The course focuses on how organizations can use leverage of scale as a source for cost reduction; leverage of expertise for improved superior IT performance; leverage of access (e.g. location) to develop new strategies. Other topics covered include different types of sourcing strategies, sourcing maturity levels and best practices. ","30439","Fall","IT Outsourcing","None","565","IS"
"None","CAPSTONE","This capstone course emphasizes the planning and management of information technologies and related resources at the corporate level. Topics covered include assessment of information technologies, tracking emerging technologies and trends, managing portfolio resources and matching them to business needs, technology transfer, end-user computing, outsourcing, theoretical models, strategic applications and strategic IT planning. Students are encouraged to take this course toward the end of their study.","30440","All","Information Systems Policies and Strategies","None","577","IS"
"None","CORE Business Intelligence","Introduction to the concepts of business intelligence (BI) as components and functionality of information systems. How business problems can be solved effectively by using operational data to create data warehouses, and then applying data mining tools and analytics to gain new insights into organizational operations. Detailed discussion of the analysis, design and implementation of systems for BI, including: data management systems, decision support systems, group support systems, knowledge engineering, expert systems, and Web 2.0 tools. Case studies of application software, web tools, success and limitation as well as technical and social issues. ","30441","Winter","Business Intelligence","IS 435 and CSC 451","574","IS"
"None","CORE Business Intelligence","Fundamentals of Data Science","30442","Fall","Fundamentals of Data Science","None","467","IS"
"None","CORE Business Intelligence","Introduction to data warehousing and the foundations of understanding the issues involved in building a successful data warehouse. Data warehouse development methodology and issues surrounding the planning of the data warehouse. Data quality and metadata in the data warehouse. Analysis, transformation and loading of data into a data warehouse. Development of the data architecture and physical design. Implementation and administration of the data warehouse. ","30443","Spring","Data Warehousing","CSC 451","549","IS"
"None","Business Intelligence","A 11-week certificate program covering the Apache Hadoop framework and how it fits with Big Data. This program requires a separate application for admission and $40 application fee. Please visit IPD.CDM.DEPAUL.EDU for information on how to enroll.","30444","Spring","Big Data Using Hadoop Program","Instructor Consent","447","IPD"
"None","Business Intelligence","A 11-week certificate program covering popular NoSQL databases and how they fit with Big Data. This program requires a separate application for admission and $40 application fee. Please visit IPD.CDM.DEPAUL.EDU for information on how to enroll.","30445","Spring","Big Data and NoSQL Program","Instructor Consent","451","IPD"
"None","Business Intelligence","An 11-week in-depth certificate program covering Microsoft SQL Server analysis services, integration services, and reporting services. This program requires a separate application for admission and $40 application fee. Please visit IPD.CDM.DEPAUL.EDU for information on how to enroll.","30446","Winter","SQL Server Business Intelligence Program","Instructor Consent","460","IPD"
"None","Business Intelligence","This course surveys system design concepts, techniques, and algorithms in Machine to Machine (M2M), Internet of Things (IoT), and Internet of Everything (IoE). Topics covered include system architecture for big data, sensors and embedded technologies, IoT architecture, consumer vs. industrial IoT, wearable and mobile systems, tracking systems, IoT and big data analytics, market dynamics and entrepreneurial opportunities. Special emphasis is placed on identifying best practices in using big data and IoT through case studies and hands-on exercises. ","30447","Fall","Big Data and the Internet of Things","None","452","IS"
"None","Business Intelligence","This course introduces students to systems thinking and system dynamics modeling for the analysis of business strategy and decision making. Students will learn how to use systems thinking and modeling to visualize and analyze organizations and institutions in terms of the structures and policies that create dynamics and regulate performance. The course will draw on system dynamics modeling and simulation concepts and tools as well as real-world case studies to explain the management of business dynamics.","30448","Winter","Systems Thinking Perspective for Understanding Business Dynamics","IS 421","456","IS"
"None","Business Intelligence","Cloud concepts, architecture, and service management, with particular emphasis upon identifying and analyzing potential business applications of cloud computing. Students will conduct feasibility studies, detailing the advantages and disadvantages of implementing a cloud computing platform for specific applications, with particular emphasis upon financial considerations, business benefits, and security risks. Students will develop the ability to evaluate alternatives and effectively argue in favor of their choices within the cloud computing knowledge domain. They will be able to define, apply, and defend the need for standards and best practices. Students will work within a project team following the principles of project management to design, build, and implement cloud applications.","30449","Winter","Enterprise Cloud Computing","None","536","IS"
"None","Business Intelligence","This course focuses on the technical concepts and managerial knowledge needed to define, integrate and govern centralized and distributed data for a wide range of application systems used at large, multinational corporations. Topics include data repository, data life cycle, DAMA-DMBOK, data stewardship, data asset valuation, enterprise data architecture, data modeling with meta-data, data security standards, master data, and data quality management.","30450","Spring","Enterprise Data Management","CSC 451","550","IS"
"None","CORE Database Administration","Introduction to data warehousing and the foundations of understanding the issues involved in building a successful data warehouse. Data warehouse development methodology and issues surrounding the planning of the data warehouse. Data quality and metadata in the data warehouse. Analysis, transformation and loading of data into a data warehouse. Development of the data architecture and physical design. Implementation and administration of the data warehouse. ","30451","Winter","Data Warehousing","CSC 451","549","IS"
"None","CORE Database Administration","This course is designed to give students a comprehensive foundation in database administration and management. The course provides a conceptual understanding of the database architecture and how its components work and interact with one another. Topics covered in this course include: database architecture, capacity planning, installation and maintenance, network configuration, security management, utilities and tools, industry standards and guidelines, database management techniques and practices.","30452","Winter","Database Administration and Management","CSC 451","454","CSC"
